"time","bat","temp","DO","Q","day","Julian_Date"
1459257240,3.42,3.087,10.283,0.988,16889.5513888889,122.551388888889
1459258140,3.42,3.077,10.283,0.988,16889.5618055556,122.561805555557
1459259040,3.42,3.098,10.301,0.988,16889.5722222222,122.572222222221
1459259940,3.42,3.098,10.302,0.988,16889.5826388889,122.582638888889
1459260840,3.42,3.118,10.31,0.988,16889.5930555556,122.593055555557
1459261740,3.42,3.16,10.291,0.988,16889.6034722222,122.603472222221
1459262640,3.42,3.139,10.313,0.987,16889.6138888889,122.613888888889
1459263540,3.42,3.16,10.306,0.987,16889.6243055556,122.624305555557
1459264440,3.42,3.191,10.327,0.987,16889.6347222222,122.634722222221
1459265340,3.42,3.201,10.342,0.988,16889.6451388889,122.645138888889
1459266240,3.42,3.242,10.329,0.987,16889.6555555556,122.655555555557
1459267140,3.42,3.273,10.371,0.988,16889.6659722222,122.665972222221
1459268040,3.42,3.325,10.34,0.987,16889.6763888889,122.676388888889
1459268940,3.42,3.345,10.374,0.988,16889.6868055556,122.686805555557
1459269840,3.42,3.345,10.385,0.988,16889.6972222222,122.697222222221
1459270740,3.42,3.417,10.406,0.988,16889.7076388889,122.707638888889
1459271640,3.42,3.53,10.412,0.988,16889.7180555556,122.718055555557
1459272540,3.42,3.581,10.446,0.988,16889.7284722222,122.728472222221
1459273440,3.42,3.622,10.446,0.987,16889.7388888889,122.738888888889
1459274340,3.42,3.684,10.45,0.987,16889.7493055556,122.749305555557
1459275240,3.42,3.755,10.476,0.988,16889.7597222222,122.759722222221
1459276140,3.42,3.816,10.471,0.988,16889.7701388889,122.770138888889
1459277040,3.41,3.877,10.5,0.988,16889.7805555556,122.780555555557
1459277940,3.42,3.959,10.495,0.987,16889.7909722222,122.790972222221
1459278840,3.42,4.071,10.502,0.988,16889.8013888889,122.801388888889
1459279740,3.42,4.111,10.542,0.988,16889.8118055556,122.811805555557
1459280640,3.42,4.233,10.549,0.988,16889.8222222222,122.822222222221
1459281540,3.42,4.283,10.56,0.988,16889.8326388889,122.832638888889
1459282440,3.42,4.313,10.557,0.987,16889.8430555556,122.843055555557
1459283340,3.42,4.354,10.571,0.988,16889.8534722222,122.853472222221
1459284240,3.42,4.394,10.583,0.988,16889.8638888889,122.863888888889
1459285140,3.42,4.465,10.586,0.988,16889.8743055556,122.874305555557
1459286040,3.42,4.545,10.568,0.987,16889.8847222222,122.884722222221
1459286940,3.42,4.636,10.578,0.988,16889.8951388889,122.895138888889
1459287840,3.42,4.646,10.588,0.987,16889.9055555556,122.905555555557
1459288740,3.42,4.696,10.587,0.987,16889.9159722222,122.915972222221
1459289640,3.42,4.716,10.58,0.987,16889.9263888889,122.926388888889
1459290540,3.42,4.726,10.587,0.987,16889.9368055556,122.936805555557
1459291440,3.42,4.776,10.59,0.987,16889.9472222222,122.947222222221
1459292340,3.42,4.806,10.576,0.988,16889.9576388889,122.957638888889
1459293240,3.42,4.836,10.561,0.987,16889.9680555556,122.968055555557
1459294140,3.42,4.856,10.56,0.987,16889.9784722222,122.978472222221
1459295040,3.42,4.836,10.584,0.989,16889.9888888889,122.988888888889
1459295940,3.42,4.826,10.56,0.988,16889.9993055556,122.999305555557
1459296840,3.42,4.816,10.567,0.988,16890.0097222222,123.009722222221
1459297740,3.42,4.806,10.557,0.988,16890.0201388889,123.020138888889
1459298640,3.42,4.766,10.567,0.988,16890.0305555556,123.030555555557
1459299540,3.42,4.736,10.558,0.987,16890.0409722222,123.040972222221
1459300440,3.42,4.726,10.549,0.988,16890.0513888889,123.051388888889
1459301340,3.42,4.676,10.545,0.988,16890.0618055556,123.061805555557
1459302240,3.42,4.646,10.548,0.988,16890.0722222222,123.072222222221
1459303140,3.42,4.615,10.541,0.988,16890.0826388889,123.082638888889
1459304040,3.42,4.626,10.506,0.987,16890.0930555556,123.093055555557
1459304940,3.42,4.585,10.516,0.987,16890.1034722222,123.103472222221
1459305840,3.42,4.525,10.537,0.988,16890.1138888889,123.113888888889
1459306740,3.42,4.535,10.501,0.988,16890.1243055556,123.124305555557
1459307640,3.42,4.455,10.511,0.987,16890.1347222222,123.134722222221
1459308540,3.42,4.445,10.497,0.987,16890.1451388889,123.145138888889
1459309440,3.42,4.384,10.504,0.987,16890.1555555556,123.155555555557
1459310340,3.42,4.364,10.487,0.988,16890.1659722222,123.165972222221
1459311240,3.42,4.324,10.473,0.987,16890.1763888889,123.176388888889
1459312140,3.42,4.273,10.481,0.987,16890.1868055556,123.186805555557
1459313040,3.42,4.273,10.453,0.987,16890.1972222222,123.197222222221
1459313940,3.42,4.202,10.482,0.988,16890.2076388889,123.207638888889
1459314840,3.42,4.192,10.479,0.988,16890.2180555556,123.218055555557
1459315740,3.42,4.162,10.471,0.988,16890.2284722222,123.228472222221
1459316640,3.42,4.121,10.47,0.987,16890.2388888889,123.238888888889
1459317540,3.42,4.111,10.475,0.988,16890.2493055556,123.249305555557
1459318440,3.42,4.101,10.465,0.988,16890.2597222222,123.259722222221
1459319340,3.42,4.081,10.464,0.987,16890.2701388889,123.270138888889
1459320240,3.42,4.071,10.458,0.987,16890.2805555556,123.280555555557
1459321140,3.42,4.03,10.468,0.988,16890.2909722222,123.290972222221
1459322040,3.42,4.03,10.452,0.988,16890.3013888889,123.301388888889
1459322940,3.42,4.04,10.45,0.988,16890.3118055556,123.311805555557
1459323840,3.42,4.03,10.45,0.987,16890.3222222222,123.322222222221
1459324740,3.42,3.999,10.47,0.988,16890.3326388889,123.332638888889
1459325640,3.42,4.02,10.46,0.988,16890.3430555556,123.343055555557
1459326540,3.42,4.01,10.462,0.988,16890.3534722222,123.353472222221
1459327440,3.42,4.02,10.451,0.988,16890.3638888889,123.363888888889
1459328340,3.42,4.02,10.457,0.988,16890.3743055556,123.374305555557
1459329240,3.42,4.01,10.467,0.988,16890.3847222222,123.384722222221
1459330140,3.42,4.03,10.447,0.988,16890.3951388889,123.395138888889
1459331040,3.42,4.02,10.44,0.988,16890.4055555556,123.405555555557
1459331940,3.42,4.04,10.431,0.988,16890.4159722222,123.415972222221
1459332840,3.42,3.999,10.451,0.988,16890.4263888889,123.426388888889
1459333740,3.42,3.999,10.416,0.987,16890.4368055556,123.436805555557
1459334640,3.42,3.999,10.434,0.988,16890.4472222222,123.447222222221
1459335540,3.42,3.989,10.419,0.987,16890.4576388889,123.457638888889
1459336440,3.42,3.989,10.427,0.988,16890.4680555556,123.468055555557
1459337340,3.42,3.959,10.432,0.988,16890.4784722222,123.478472222221
1459338240,3.42,3.969,10.39,0.987,16890.4888888889,123.488888888889
1459339140,3.42,3.949,10.41,0.988,16890.4993055556,123.499305555557
1459340040,3.42,3.959,10.392,0.988,16890.5097222222,123.509722222221
1459340940,3.41,3.928,10.393,0.988,16890.5201388889,123.520138888889
1459341840,3.42,3.949,10.373,0.988,16890.5305555556,123.530555555557
1459342740,3.42,3.888,10.387,0.988,16890.5409722222,123.540972222221
1459343640,3.41,3.857,10.387,0.988,16890.5513888889,123.551388888889
1459344540,3.41,3.826,10.385,0.988,16890.5618055556,123.561805555557
1459345440,3.42,3.806,10.385,0.988,16890.5722222222,123.572222222221
1459346340,3.42,3.816,10.371,0.988,16890.5826388889,123.582638888889
1459347240,3.42,3.806,10.359,0.987,16890.5930555556,123.593055555557
1459348140,3.42,3.786,10.398,0.989,16890.6034722222,123.603472222221
1459349040,3.41,3.755,10.395,0.988,16890.6138888889,123.613888888889
1459349940,3.41,3.755,10.385,0.988,16890.6243055556,123.624305555557
1459350840,3.41,3.776,10.368,0.988,16890.6347222222,123.634722222221
1459351740,3.42,3.745,10.382,0.988,16890.6451388889,123.645138888889
1459352640,3.42,3.786,10.398,0.988,16890.6555555556,123.655555555557
1459353540,3.41,3.816,10.382,0.988,16890.6659722222,123.665972222221
1459354440,3.41,3.857,10.392,0.988,16890.6763888889,123.676388888889
1459355340,3.42,3.959,10.355,0.987,16890.6868055556,123.686805555557
1459356240,3.42,3.938,10.386,0.988,16890.6972222222,123.697222222221
1459357140,3.42,3.949,10.398,0.987,16890.7076388889,123.707638888889
1459358040,3.42,4.071,10.415,0.988,16890.7180555556,123.718055555557
1459358940,3.42,4.152,10.389,0.988,16890.7284722222,123.728472222221
1459359840,3.42,4.243,10.383,0.987,16890.7388888889,123.738888888889
1459360740,3.42,4.222,10.389,0.988,16890.7493055556,123.749305555557
1459361640,3.42,4.202,10.382,0.988,16890.7597222222,123.759722222221
1459362540,3.42,4.243,10.395,0.988,16890.7701388889,123.770138888889
1459363440,3.42,4.334,10.393,0.988,16890.7805555556,123.780555555557
1459364340,3.42,4.475,10.385,0.987,16890.7909722222,123.790972222221
1459365240,3.42,4.505,10.403,0.989,16890.8013888889,123.801388888889
1459366140,3.42,4.525,10.396,0.988,16890.8118055556,123.811805555557
1459367040,3.42,4.676,10.411,0.988,16890.8222222222,123.822222222221
1459367940,3.42,4.766,10.386,0.987,16890.8326388889,123.832638888889
1459368840,3.42,4.796,10.39,0.987,16890.8430555556,123.843055555557
1459369740,3.42,4.916,10.43,0.988,16890.8534722222,123.853472222221
1459370640,3.42,5.025,10.409,0.988,16890.8638888889,123.863888888889
1459371540,3.42,5.055,10.368,0.987,16890.8743055556,123.874305555557
1459372440,3.42,5.065,10.396,0.988,16890.8847222222,123.884722222221
1459373340,3.42,5.095,10.386,0.987,16890.8951388889,123.895138888889
1459374240,3.42,5.175,10.396,0.988,16890.9055555556,123.905555555557
1459375140,3.42,5.195,10.39,0.988,16890.9159722222,123.915972222221
1459376040,3.42,5.185,10.383,0.987,16890.9263888889,123.926388888889
1459376940,3.42,5.185,10.387,0.987,16890.9368055556,123.936805555557
1459377840,3.42,5.185,10.362,0.987,16890.9472222222,123.947222222221
1459378740,3.42,5.145,10.392,0.988,16890.9576388889,123.957638888889
1459379640,3.42,5.135,10.41,0.988,16890.9680555556,123.968055555557
1459380540,3.42,5.135,10.383,0.987,16890.9784722222,123.978472222221
1459381440,3.42,5.125,10.379,0.988,16890.9888888889,123.988888888889
1459382340,3.42,5.105,10.381,0.988,16890.9993055556,123.999305555557
1459383240,3.42,5.025,10.394,0.987,16891.0097222222,124.009722222221
1459384140,3.42,5.025,10.389,0.988,16891.0201388889,124.020138888889
1459385040,3.42,5.016,10.383,0.988,16891.0305555556,124.030555555557
1459385940,3.42,5.016,10.377,0.988,16891.0409722222,124.040972222221
1459386840,3.42,4.946,10.375,0.987,16891.0513888889,124.051388888889
1459387740,3.42,4.926,10.384,0.988,16891.0618055556,124.061805555557
1459388640,3.42,4.896,10.372,0.987,16891.0722222222,124.072222222221
1459389540,3.42,4.836,10.371,0.987,16891.0826388889,124.082638888889
1459390440,3.42,4.796,10.366,0.987,16891.0930555556,124.093055555557
1459391340,3.42,4.716,10.384,0.988,16891.1034722222,124.103472222221
1459392240,3.42,4.696,10.347,0.987,16891.1138888889,124.113888888889
1459393140,3.42,4.666,10.355,0.987,16891.1243055556,124.124305555557
1459394040,3.42,4.575,10.397,0.988,16891.1347222222,124.134722222221
1459394940,3.42,4.555,10.38,0.988,16891.1451388889,124.145138888889
1459395840,3.42,4.525,10.358,0.987,16891.1555555556,124.155555555557
1459396740,3.42,4.515,10.356,0.987,16891.1659722222,124.165972222221
1459397640,3.42,4.485,10.36,0.988,16891.1763888889,124.176388888889
1459398540,3.42,4.434,10.374,0.988,16891.1868055556,124.186805555557
1459399440,3.42,4.404,10.361,0.988,16891.1972222222,124.197222222221
1459400340,3.42,4.394,10.374,0.989,16891.2076388889,124.207638888889
1459401240,3.42,4.364,10.342,0.987,16891.2180555556,124.218055555557
1459402140,3.42,4.313,10.353,0.988,16891.2284722222,124.228472222221
1459403040,3.42,4.273,10.333,0.987,16891.2388888889,124.238888888889
1459403940,3.42,4.222,10.351,0.988,16891.2493055556,124.249305555557
1459404840,3.42,4.212,10.346,0.988,16891.2597222222,124.259722222221
1459405740,3.42,4.152,10.349,0.988,16891.2701388889,124.270138888889
1459406640,3.42,4.111,10.34,0.988,16891.2805555556,124.280555555557
1459407540,3.42,4.101,10.316,0.987,16891.2909722222,124.290972222221
1459408440,3.42,4.071,10.326,0.988,16891.3013888889,124.301388888889
1459409340,3.42,4.05,10.327,0.988,16891.3118055556,124.311805555557
1459410240,3.42,3.999,10.318,0.988,16891.3222222222,124.322222222221
1459411140,3.42,3.959,10.316,0.988,16891.3326388889,124.332638888889
1459412040,3.42,3.908,10.313,0.988,16891.3430555556,124.343055555557
1459412940,3.42,3.867,10.298,0.988,16891.3534722222,124.353472222221
1459413840,3.42,3.806,10.3,0.988,16891.3638888889,124.363888888889
1459414740,3.42,3.755,10.298,0.988,16891.3743055556,124.374305555557
1459415640,3.42,3.684,10.303,0.988,16891.3847222222,124.384722222221
1459416540,3.42,3.673,10.287,0.987,16891.3951388889,124.395138888889
1459417440,3.42,3.602,10.276,0.987,16891.4055555556,124.405555555557
1459418340,3.42,3.551,10.303,0.988,16891.4159722222,124.415972222221
1459419240,3.42,3.52,10.282,0.988,16891.4263888889,124.426388888889
1459420140,3.42,3.458,10.277,0.988,16891.4368055556,124.436805555557
1459421040,3.42,3.407,10.25,0.987,16891.4472222222,124.447222222221
1459421940,3.42,3.345,10.287,0.988,16891.4576388889,124.457638888889
1459422840,3.42,3.314,10.252,0.987,16891.4680555556,124.468055555557
1459423740,3.42,3.242,10.256,0.988,16891.4784722222,124.478472222221
1459424640,3.42,3.17,10.257,0.987,16891.4888888889,124.488888888889
1459425540,3.42,3.191,10.233,0.989,16891.4993055556,124.499305555557
1459426440,3.42,3.118,10.23,0.988,16891.5097222222,124.509722222221
1459427340,3.42,3.067,10.222,0.987,16891.5201388889,124.520138888889
1459428240,3.42,3.005,10.24,0.988,16891.5305555556,124.530555555557
1459429140,3.42,2.984,10.227,0.987,16891.5409722222,124.540972222221
1459430040,3.42,2.963,10.232,0.988,16891.5513888889,124.551388888889
1459430940,3.41,2.953,10.215,0.987,16891.5618055556,124.561805555557
1459431840,3.41,2.922,10.249,0.988,16891.5722222222,124.572222222221
1459432740,3.41,2.901,10.228,0.987,16891.5826388889,124.582638888889
1459433640,3.41,2.88,10.247,0.988,16891.5930555556,124.593055555557
1459434540,3.41,2.88,10.269,0.988,16891.6034722222,124.603472222221
1459435440,3.41,2.891,10.279,0.988,16891.6138888889,124.613888888889
1459436340,3.41,2.88,10.275,0.987,16891.6243055556,124.624305555557
1459437240,3.41,2.911,10.293,0.989,16891.6347222222,124.634722222221
1459438140,3.41,2.953,10.271,0.987,16891.6451388889,124.645138888889
1459439040,3.41,2.984,10.291,0.988,16891.6555555556,124.655555555557
1459439940,3.41,3.025,10.305,0.988,16891.6659722222,124.665972222221
1459440840,3.41,3.108,10.3,0.988,16891.6763888889,124.676388888889
1459441740,3.41,3.149,10.329,0.988,16891.6868055556,124.686805555557
1459442640,3.41,3.201,10.34,0.988,16891.6972222222,124.697222222221
1459443540,3.41,3.304,10.364,0.989,16891.7076388889,124.707638888889
1459444440,3.41,3.417,10.366,0.988,16891.7180555556,124.718055555557
1459445340,3.42,3.51,10.382,0.988,16891.7284722222,124.728472222221
1459446240,3.41,3.551,10.398,0.988,16891.7388888889,124.738888888889
1459447140,3.41,3.592,10.402,0.987,16891.7493055556,124.749305555557
1459448040,3.41,3.745,10.412,0.987,16891.7597222222,124.759722222221
1459448940,3.41,3.857,10.444,0.988,16891.7701388889,124.770138888889
1459449840,3.42,3.959,10.465,0.988,16891.7805555556,124.780555555557
1459450740,3.42,3.959,10.454,0.988,16891.7909722222,124.790972222221
1459451640,3.42,3.979,10.466,0.988,16891.8013888889,124.801388888889
1459452540,3.42,4.141,10.459,0.988,16891.8118055556,124.811805555557
1459453440,3.42,4.101,10.482,0.988,16891.8222222222,124.822222222221
1459454340,3.42,4.111,10.489,0.987,16891.8326388889,124.832638888889
1459455240,3.42,4.111,10.485,0.987,16891.8430555556,124.843055555557
1459456140,3.42,4.141,10.489,0.987,16891.8534722222,124.853472222221
1459457040,3.42,4.192,10.512,0.988,16891.8638888889,124.863888888889
1459457940,3.42,4.233,10.506,0.988,16891.8743055556,124.874305555557
1459458840,3.42,4.263,10.515,0.988,16891.8847222222,124.884722222221
1459459740,3.42,4.263,10.519,0.987,16891.8951388889,124.895138888889
1459460640,3.42,4.313,10.551,0.988,16891.9055555556,124.905555555557
1459461540,3.42,4.374,10.521,0.988,16891.9159722222,124.915972222221
1459462440,3.42,4.374,10.528,0.987,16891.9263888889,124.926388888889
1459463340,3.42,4.354,10.525,0.987,16891.9368055556,124.936805555557
1459464240,3.42,4.313,10.538,0.988,16891.9472222222,124.947222222221
1459465140,3.42,4.303,10.531,0.987,16891.9576388889,124.957638888889
1459466040,3.42,4.303,10.554,0.988,16891.9680555556,124.968055555557
1459466940,3.42,4.313,10.537,0.987,16891.9784722222,124.978472222221
1459467840,3.42,4.313,10.544,0.988,16891.9888888889,124.988888888889
1459468740,3.42,4.293,10.536,0.987,16891.9993055556,124.999305555557
1459469640,3.42,4.253,10.557,0.988,16892.0097222222,125.009722222221
1459470540,3.42,4.212,10.549,0.988,16892.0201388889,125.020138888889
1459471440,3.42,4.162,10.553,0.988,16892.0305555556,125.030555555557
1459472340,3.42,4.172,10.531,0.988,16892.0409722222,125.040972222221
1459473240,3.42,4.101,10.544,0.987,16892.0513888889,125.051388888889
1459474140,3.42,4.091,10.546,0.988,16892.0618055556,125.061805555557
1459475040,3.42,4.03,10.557,0.988,16892.0722222222,125.072222222221
1459475940,3.42,4.04,10.538,0.987,16892.0826388889,125.082638888889
1459476840,3.42,3.999,10.565,0.988,16892.0930555556,125.093055555557
1459477740,3.42,3.938,10.565,0.988,16892.1034722222,125.103472222221
1459478640,3.42,3.928,10.531,0.988,16892.1138888889,125.113888888889
1459479540,3.42,3.877,10.535,0.988,16892.1243055556,125.124305555557
1459480440,3.42,3.826,10.537,0.988,16892.1347222222,125.134722222221
1459481340,3.42,3.796,10.535,0.988,16892.1451388889,125.145138888889
1459482240,3.42,3.724,10.534,0.987,16892.1555555556,125.155555555557
1459483140,3.42,3.673,10.544,0.987,16892.1659722222,125.165972222221
1459484040,3.42,3.653,10.534,0.988,16892.1763888889,125.176388888889
1459484940,3.42,3.612,10.539,0.987,16892.1868055556,125.186805555557
1459485840,3.42,3.592,10.542,0.988,16892.1972222222,125.197222222221
1459486740,3.42,3.571,10.529,0.987,16892.2076388889,125.207638888889
1459487640,3.42,3.54,10.521,0.988,16892.2180555556,125.218055555557
1459488540,3.42,3.499,10.531,0.988,16892.2284722222,125.228472222221
1459489440,3.42,3.469,10.534,0.989,16892.2388888889,125.238888888889
1459490340,3.42,3.448,10.508,0.987,16892.2493055556,125.249305555557
1459491240,3.42,3.427,10.525,0.988,16892.2597222222,125.259722222221
1459492140,3.42,3.386,10.52,0.988,16892.2701388889,125.270138888889
1459493040,3.42,3.345,10.507,0.987,16892.2805555556,125.280555555557
1459493940,3.42,3.335,10.502,0.988,16892.2909722222,125.290972222221
1459494840,3.42,3.273,10.51,0.988,16892.3013888889,125.301388888889
1459495740,3.42,3.263,10.516,0.989,16892.3118055556,125.311805555557
1459496640,3.41,3.211,10.49,0.987,16892.3222222222,125.322222222221
1459497540,3.42,3.17,10.5,0.988,16892.3326388889,125.332638888889
1459498440,3.42,3.139,10.494,0.988,16892.3430555556,125.343055555557
1459499340,3.42,3.129,10.485,0.988,16892.3534722222,125.353472222221
1459500240,3.41,3.077,10.478,0.987,16892.3638888889,125.363888888889
1459501140,3.41,3.056,10.473,0.987,16892.3743055556,125.374305555557
1459502040,3.41,3.025,10.484,0.988,16892.3847222222,125.384722222221
1459502940,3.41,3.015,10.473,0.988,16892.3951388889,125.395138888889
1459503840,3.41,2.963,10.487,0.988,16892.4055555556,125.405555555557
1459504740,3.41,2.891,10.482,0.988,16892.4159722222,125.415972222221
1459505640,3.41,2.859,10.49,0.988,16892.4263888889,125.426388888889
1459506540,3.41,2.818,10.494,0.988,16892.4368055556,125.436805555557
1459507440,3.41,2.755,10.496,0.988,16892.4472222222,125.447222222221
1459508340,3.41,2.693,10.518,0.988,16892.4576388889,125.457638888889
1459509240,3.41,2.641,10.521,0.988,16892.4680555556,125.468055555557
1459510140,3.41,2.62,10.499,0.987,16892.4784722222,125.478472222221
1459511040,3.41,2.536,10.514,0.987,16892.4888888889,125.488888888889
1459511940,3.41,2.495,10.522,0.988,16892.4993055556,125.499305555557
1459512840,3.41,2.432,10.534,0.988,16892.5097222222,125.509722222221
1459513740,3.41,2.379,10.532,0.987,16892.5201388889,125.520138888889
1459514640,3.41,2.327,10.553,0.988,16892.5305555556,125.530555555557
1459515540,3.41,2.285,10.551,0.987,16892.5409722222,125.540972222221
1459516440,3.41,2.201,10.576,0.987,16892.5513888889,125.551388888889
1459517340,3.41,2.18,10.567,0.987,16892.5618055556,125.561805555557
1459518240,3.41,2.117,10.619,0.988,16892.5722222222,125.572222222221
1459519140,3.41,2.085,10.628,0.987,16892.5826388889,125.582638888889
1459520040,3.41,2.064,10.63,0.987,16892.5930555556,125.593055555557
1459520940,3.41,1.979,10.676,0.988,16892.6034722222,125.603472222221
1459521840,3.41,1.958,10.705,0.987,16892.6138888889,125.613888888889
1459522740,3.41,2.011,10.694,0.988,16892.6243055556,125.624305555557
1459523640,3.41,2.032,10.711,0.988,16892.6347222222,125.634722222221
1459524540,3.41,2.043,10.707,0.987,16892.6451388889,125.645138888889
1459525440,3.41,2.074,10.709,0.987,16892.6555555556,125.655555555557
1459526340,3.41,2.106,10.72,0.987,16892.6659722222,125.665972222221
1459527240,3.41,2.159,10.75,0.988,16892.6763888889,125.676388888889
1459528140,3.41,2.201,10.756,0.987,16892.6868055556,125.686805555557
1459529040,3.41,2.253,10.787,0.988,16892.6972222222,125.697222222221
1459529940,3.41,2.316,10.784,0.988,16892.7076388889,125.707638888889
1459530840,3.41,2.379,10.769,0.987,16892.7180555556,125.718055555557
1459531740,3.41,2.432,10.793,0.988,16892.7284722222,125.728472222221
1459532640,3.41,2.526,10.785,0.987,16892.7388888889,125.738888888889
1459533540,3.41,2.63,10.787,0.987,16892.7493055556,125.749305555557
1459534440,3.41,2.755,10.795,0.987,16892.7597222222,125.759722222221
1459535340,3.41,2.849,10.806,0.988,16892.7701388889,125.770138888889
1459536240,3.41,2.922,10.805,0.988,16892.7805555556,125.780555555557
1459537140,3.41,2.994,10.799,0.987,16892.7909722222,125.790972222221
1459538040,3.41,3.077,10.81,0.987,16892.8013888889,125.801388888889
